S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
315,HRC Came,2341,0,0,60,0,0
316,S Chanderpaul,2253,82,0,45,3,0
317,D Ramdin,2255,77,0,69,1,0
318,J Weatherald,2309,0,0,61,0,0
319,GS Ballance,2294,0,0,70,0,0
320,LD McManus,2282,0,0,76,0,0
321,MC Henriques,2226,0,55,62,0,0
322,T Bavuma,2210,0,70,56,0,3
323,BJ Webster,2277,0,0,47,0,0
324,AJ Healy,2102,172,0,56,6,0
325,TGR Clark,2272,0,0,70,0,0
326,JA Raval,2256,0,0,56,0,0
327,D Cleaver,2251,0,0,62,0,0
328,HG Munsey,2220,27,0,51,1,0
329,SC Ganguly,2227,18,0,46,3,0
330,IA Cockbain,2242,0,0,53,0,0
331,CS Delport,2232,0,0,64,0,0
332,AJA Wheater,2224,0,0,62,0,0
333,JR Philippe,2219,0,0,58,0,0
334,SP Narine,2140,38,39,96,8,2
335,NT Broom,2196,0,0,56,0,0
336,MK Andersson,2181,0,0,52,0,0
337,CJ Bowes,2180,0,0,61,0,0
338,Ahmed Shehzad,2168,0,0,54,0,0
339,WIA Fernando,2140,0,9,58,0,1
340,JEK Rew,2145,0,0,38,0,0
341,AJ Blake,2144,0,0,61,0,0
342,C de Grandhomme,2092,0,49,74,0,2
343,Imam-ul-Haq,2108,0,0,44,0,0
344,PP Shaw,1752,324,19,45,11,2
345,B Sai Sudharsan,2089,5,0,40,1,0
346,AGH Orr,2086,0,0,49,0,0
347,CL White,2041,43,0,39,1,1
348,Sarfraz Ahmed,2066,0,0,60,0,0
349,SG Budinger,2052,0,0,60,0,0
350,Agha Salman,2051,0,0,44,0,0
351,HC Knight,1889,153,0,35,4,0
352,FJ Hudson-Prentice,2035,0,0,70,0,0
353,BA Raine,2022,0,0,86,0,0
354,WP Saha,1529,392,95,52,9,8
355,VVS Laxman,1859,154,0,36,5,0
356,HK Matthews,1950,16,45,36,1,2
357,JWA Taylor,2006,0,0,33,0,0
358,MS Pepper,1996,0,0,58,0,0
359,SFM Devine,1949,41,0,47,2,0
360,JJ Bohannon,1974,0,0,48,0,0
361,JA Burns,1969,0,0,47,0,0
362,AG Wakely,1968,0,0,61,0,0
363,FDM Karunaratne,1961,0,0,55,1,0
364,Sabbir Rahman,1960,0,0,60,0,0
365,KK Nair,1789,93,74,58,6,3
366,YK Pathan,1564,327,64,44,11,1
367,DR Mousley,1947,0,0,51,0,0
368,RM Patidar,1556,339,37,38,6,2
369,Nazmul Hossain Shanto,1878,0,53,49,1,2
370,NLJ Browne,1924,0,0,40,0,0
371,Shahid Afridi,1923,0,0,74,0,0
372,Waseem Muhammad,1922,0,0,48,0,0
373,GR Hay,1906,0,0,42,0,0
374,GC Wilson,1896,0,0,61,0,0
375,CR Woakes,1782,46,60,63,4,1
376,Umar Akmal,1882,0,0,46,0,0
377,AR Patel,1430,297,153,61,8,8
378,JDM Evison,1874,0,0,53,0,0
379,WCF Smeed,1872,0,0,56,0,0
380,AC Voges,1863,0,7,31,0,1
381,HDRL Thirimanne,1866,0,0,43,0,0
382,JK Fuller,1863,0,0,55,0,0
383,JB Cracknell,1863,0,0,53,0,0
384,JJ Weatherley,1859,0,0,48,0,0
385,HWR Cartwright,1857,0,0,43,0,0
386,P Rathnayake,1851,0,0,27,0,0
387,Towhid Hridoy,1759,0,90,35,0,2
388,JHK Adams,1848,0,0,48,0,0
